str,ru_RU,en_US,ky_KG
thanks_voted_against,"Спасибо, Ваш голос учтен. Вы проголосовали 'Против'","Thank you, your vote is recorded. You voted 'Against'","Рахмат, сиздин добуш жазылды. Сиз ""Каршы"" деп добуш бердиңиз."
poll_results,Результаты голосования:,Poll results:,Добуш берүү жыйынтыгы:
go_to_discussions,Перейти к обсуждениям,Go to discussions,Талкууларга өтүү
no_chats_yet,Пока нет чатов,No chats yet,Азырынча чаттар жок
to_add_chats,"Чтобы добавить чаты, должны быть добавлены голоса или новости для открытого обсуждения","To add chats, votes or news for open discussion must be added","Чаттарды кошуу үчүн, добуштар же жаңылыктар ачык талкуу үчүн кошулушу керек"
developer,Застройщик,Developer,Куруучу
developer_website,Сайт застройщика,Developer website,Куруучунун веб-сайты
no_house_admin_info,Вы еще не ввели информацию о домкоме,You haven't entered house admin info yet,Сиз үй администраторунун маалыматын киргизе элексиз
useful_info_unavailable,Полезная информация для вас недоступна,Useful information is unavailable for you,Пайдалуу маалымат сиз үчүн жеткиликтүү эмес
no_requests_yet,У вас еще нет заявок,You have no requests yet,Сизде азырынча арыздар жок
no_camera_zones,У вас нет зон камеры,You have no camera zones,Сизде камера зоналары жок
more_details,Подробнее,More details,Кененирээк
current_tsj_switched,Current tsj switched,Current TSJ switched,Учурдагы ТСЖ өзгөртүлдү
no_notifications_yet,У вас пока нет уведомлений,You have no notifications yet,Азырынча сизде билдирүүлөр жок
mark_all_as_read,Отметить все как прочитанное,Mark all as read,Бардыгын окулган деп белгилөө
attention,Внимание,Attention,Көңүл буруңуз
confirm_mark_all_as_read,Вы действительно хотите сделать все как прочитанное,Are you sure you want to mark all as read?,Бардыгын окулган деп белгилөөнү каалайсызбы?
owner,Собственник,Owner,Ээси
residing,Проживает,Residing,Жашаган
tenant,Квартирант,Tenant,Квартирант
resident_added,Вы добавили жильца,You added a resident,Сиз тургунду коштуңуз
resident_request_sent,Мы отправили вашу заявку на рассмотрение ДомКому,We sent your request for review to the House Admin,Биз сиздин арызыңызды үй администраторго жөнөттүк
add_resident,Добaвить жильца,Add resident,Тургун кошуу
enter_resident_info,Внесите контактные данные жильца и \nточный адрес,Enter resident's contact details and exact address,Тургундун байланыш маалыматын жана так дарегин киргизиңиз
add,Добавить,Add,Кошуу
update_language,Обновить язык,Update language,Тилди жаңыртуу
data_changed,Вы изменили данные,You changed the data,Сиз маалыматтарды өзгөрттүңүз
data_update_sent,Мы отправили ваши изменения на рассмотрение ДомКому,We sent your changes for review to the House Admin,Биз сиздин өзгөртүүлөрдү үй администраторго жөнөттүк
push_enabled,Теперь вы можете получать push-уведомления,Now you can receive push notifications,Эми сиз push билдирүүлөрдү ала аласыз
push_disabled,Теперь вы нe можете получать push-уведомления,Now you cannot receive push notifications,Эми сиз push билдирүүлөрдү ала албайсыз
password_changed,Ваш пароль успешно изменен,Your password has been successfully changed,Сиздин сыр сөз ийгиликтүү өзгөртүлдү
enter_old_password,Введите старый пароль,Enter old password,Эски сыр сөздү киргизиңиз
enter_password,Введите пароль,Enter password,Сыр сөздү киргизиңиз
repeat_new_password,Повторите новый пароль,Repeat new password,Жаңы сыр сөздү кайталаңыз
required_field,Обязательное поле,Required field,Милдеттүү талаа
passwords_must_match,Пароли должны совпадать,Passwords must match,Сыр сөздөр дал келиши керек
phone_number_change,Изменение номера телефона,Phone number change,Телефон номерин өзгөртүү
settings,Настройки,Settings,Орнотуулар
poll_started,Начато голосование,Poll started,Добуш берүү башталды
poll_ends_on,Голосование продлится до,Poll will last until,Добуш берүү ушул күнгө чейин уланат
go_to_poll,Перейти к голосованию,Go to poll,Добуш берүүгө өтүү
account_in_review,Ваш аккаунт в обработке,Your account is in review,Сиздин аккаунт кароодо
wait_for_house_admin,"Пожалуйста, подождите, пока домком не одобрит вашу заявку",Please wait until the house admin approves your request,Үй администратор сиздин арызыңызды бекиткенге чейин күтүңүз
okay,Хорошо,Okay,Макул
enter_email,Введите почту,Enter email,Почтаңызды киргизиңиз
apartment_number,Номер квартиры,Apartment number,Батир номери
select_house,Выберите дом,Select house,Үй тандаңыз
create_password,Придумайте пароль,Create a password,Сыр сөз ойлоп табыңыз
phone_registration,Регистрация номера телефона,Phone number registration,Телефон номери каттоо
enter_old_phone_number,"Введите номер телефона, по которому у вас раньше была активная учетная запись.",Enter the phone number associated with your previous active account.,Мурунку активдүү аккаунтуңуз байланышкан телефон номерин киргизиңиз.
confirm,Подтвердить,Confirm,Тастыктоо
title,Заголовок,Title,Тема
poll_duration,Срок голосования,Poll duration,Добуш берүү мөөнөтү
source_link_optional,Ссылка на источник (необязательно),Source link (optional),Булакка шилтеме (милдеттүү эмес)
privacy_policy,Политика конфиденциальности,Privacy Policy,Купуялуулук саясаты
terms_of_usage,Условия использования,Terms of Usage,Колдонуу шарттары
